                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58565,                0.06465,                0.02701,                0.32876,                0.92896,                 0.9989,                      1,                  0.995,                0.85702,                 0.9989,                      1,                  0.995,                  0.995,                0.67178,                0.03429,                0.00205,                0.31789,                 1.0198,              0.0012674,              0.0012674,              0.0012674
                     77,                0.57352,                0.07403,                0.03609,                0.32341,                0.91453,                0.99907,                      1,                  0.995,                0.86315,                0.99907,                      1,                  0.995,                  0.995,                0.68024,                0.03324,                0.00224,                0.31751,                 1.0288,              0.0012575,              0.0012575,              0.0012575
                     78,                0.62381,                0.06508,                0.03841,                0.33703,                 0.9259,                0.99862,                      1,                  0.995,                 0.8496,                0.99862,                      1,                  0.995,                  0.995,                0.68974,                0.03333,                0.00317,                0.31261,                 1.0471,              0.0012476,              0.0012476,              0.0012476
                     79,                0.63219,                0.06608,                0.03213,                0.34285,                0.92564,                0.99877,                      1,                  0.995,                0.85284,                0.99877,                      1,                  0.995,                  0.995,                 0.7023,                0.03373,                0.00239,                0.31319,                 1.0404,              0.0012377,              0.0012377,              0.0012377
                     80,                0.61236,                0.06964,                0.03256,                 0.3345,                0.93215,                0.99824,                      1,                  0.995,                0.86591,                0.99824,                      1,                  0.995,                  0.995,                0.66435,                0.03295,                0.00231,                0.30584,                 1.0117,              0.0012278,              0.0012278,              0.0012278
                     81,                0.58591,                0.06747,                 0.0355,                0.31869,                0.91387,                0.99871,                      1,                  0.995,                0.85478,                0.99871,                      1,                  0.995,                  0.995,                0.67599,                0.03305,                0.00242,                0.30006,                 1.0311,              0.0012179,              0.0012179,              0.0012179
                     82,                0.58167,                0.06972,                0.03194,                0.31693,                0.92107,                0.99939,                      1,                  0.995,                0.84478,                0.99939,                      1,                  0.995,                  0.995,                0.68676,                0.03401,                 0.0031,                0.31009,                 1.0229,               0.001208,               0.001208,               0.001208
                     83,                0.58097,                 0.0719,                  0.037,                0.32519,                0.91874,                0.99891,                      1,                  0.995,                0.84501,                0.99891,                      1,                  0.995,                0.99451,                0.68026,                0.03724,                0.00291,                0.30997,                 1.0229,              0.0011981,              0.0011981,              0.0011981
                     84,                0.55543,                0.05863,                0.04193,                0.31065,                0.90493,                0.99919,                      1,                  0.995,                0.85895,                0.99919,                      1,                  0.995,                  0.995,                0.65926,                0.03442,                0.00667,                0.28527,                 1.0278,              0.0011882,              0.0011882,              0.0011882
                     85,                0.58399,                0.05676,                 0.0325,                0.31122,                0.92564,                0.99911,                      1,                  0.995,                0.85761,                0.99911,                      1,                  0.995,                0.99418,                0.65163,                0.03246,                0.00589,                0.29328,                 1.0157,              0.0011783,              0.0011783,              0.0011783
                     86,                0.58908,                0.06286,                 0.0334,                0.31482,                0.92019,                0.99916,                      1,                  0.995,                0.86132,                0.99916,                      1,                  0.995,                  0.995,                  0.688,                0.03268,                0.00304,                0.30861,                 1.0291,              0.0011684,              0.0011684,              0.0011684
                     87,                0.58336,                0.06414,                0.03823,                0.31139,                 0.9211,                0.99905,                      1,                  0.995,                0.85369,                0.99905,                      1,                  0.995,                  0.995,                0.67562,                0.03271,                0.00268,                0.29401,                 1.0351,              0.0011585,              0.0011585,              0.0011585
                     88,                0.57467,                0.05719,                 0.0296,                0.30907,                0.90411,                0.99912,                      1,                  0.995,                0.85123,                0.99912,                      1,                  0.995,                  0.995,                0.67248,                0.02575,                0.00226,                0.30486,                 1.0341,              0.0011486,              0.0011486,              0.0011486
                     89,                0.56262,                0.05387,                0.03246,                0.30458,                0.90765,                0.99917,                      1,                  0.995,                0.86022,                0.99917,                      1,                  0.995,                  0.995,                0.68122,                0.02985,                0.00559,                0.29102,                 1.0397,              0.0011387,              0.0011387,              0.0011387
                     90,                0.59078,                0.06395,                0.02898,                 0.3083,                0.92139,                0.99917,                      1,                  0.995,                0.83319,                0.99917,                      1,                  0.995,                  0.995,                0.70581,                0.02909,                0.00191,                0.31987,                 1.0473,              0.0011288,              0.0011288,              0.0011288
                     91,                0.58452,                0.05711,                0.02729,                0.31665,                0.92846,                0.99914,                      1,                  0.995,                0.84086,                0.99914,                      1,                  0.995,                  0.995,                0.70126,                0.03465,                  0.004,                0.30872,                 1.0372,              0.0011189,              0.0011189,              0.0011189
                     92,                 0.5814,                0.05504,                0.02987,                0.31584,                0.92346,                0.99917,                      1,                  0.995,                0.85892,                0.99917,                      1,                  0.995,                  0.995,                0.66334,                0.03466,                0.00195,                0.30562,                  1.032,               0.001109,               0.001109,               0.001109
                     93,                0.55717,                0.05515,                0.03052,                0.30711,                0.91262,                0.99914,                      1,                  0.995,                0.84161,                0.99914,                      1,                  0.995,                  0.995,                0.68715,                0.02607,                 0.0025,                0.31616,                  1.035,              0.0010991,              0.0010991,              0.0010991
                     94,                0.57648,                0.05742,                0.02958,                 0.3175,                0.90997,                0.99916,                      1,                  0.995,                0.85212,                0.99916,                      1,                  0.995,                  0.995,                0.68811,                0.03273,                0.00201,                0.31962,                 1.0441,              0.0010892,              0.0010892,              0.0010892
                     95,                 0.5888,                0.05971,                0.02923,                0.32507,                0.92499,                0.99906,                      1,                  0.995,                0.83987,                0.99906,                      1,                  0.995,                  0.995,                0.69713,                 0.0297,                0.00186,                0.31497,                 1.0448,              0.0010793,              0.0010793,              0.0010793
                     96,                0.58908,                0.05445,                0.03078,                0.32016,                0.92756,                0.99903,                      1,                  0.995,                0.86402,                0.99903,                      1,                  0.995,                0.99308,                0.65586,                0.03287,                0.00207,                0.30413,                 1.0229,              0.0010694,              0.0010694,              0.0010694
                     97,                0.58513,                0.05355,                0.02441,                0.30253,                0.92051,                0.99911,                      1,                  0.995,                0.85869,                0.99911,                      1,                  0.995,                  0.995,                0.65942,                0.02886,                0.00199,                0.30301,                 1.0282,              0.0010595,              0.0010595,              0.0010595
                     98,                0.58416,                0.06172,                0.02697,                0.32545,                0.91712,                0.99903,                      1,                  0.995,                0.85895,                0.99903,                      1,                  0.995,                  0.995,                 0.6554,                0.03764,                0.00211,                0.29128,                 1.0138,              0.0010496,              0.0010496,              0.0010496
